Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
328                                        FIAT AUTO SPA                 1
288                                            ETRIKOSKG                 1
289                                                 EURO                 1
290                                          EURO CARICO                 1
293                                         EVO BUS M.B.                 1
294                                         F.B. MONDIAL                 1
299                                            FARMATRAC                 1
300                                                 FAST                 1
301                                                  FCA                 1
303                                            FD Motors                 1
304                                                FE.BA                 1
309                                             FERGUSON                 1
312                                               FGM 37                 1
313                                             FHYUNDAY                 1
314                                                  FIA                 1
316                                             FIAT 100                 1
321                                            FIAT 500L                 1
322                                              FIAT 55                 1
324                                          FIAT 640 DT                 1
325                                             FIAT 680                 1
326                                           FIAT 70.66                 1
327                                           FIAT 70/90                 1
188                                              CIRELLI                 1
184                                          CHRYSLER PT                 1
181                                             CHRISLER                 1
59                                   ANTONIO CARRARO SPA                 1
43                                                   AJP                 1
45                                          ALFA 146 1.4                 1
46                                          ALFA 146 1.6                 1
47                                              ALFA 147                 1
49                                          ALFA 156 1.8                 1
50                                          ALFA 156 1.9                 1
51                                          ALFA 33 GIAR                 1
54                                          ALTRE MARCHE                 1
55                                                 AMBRA                 1
56                                             ANTONELLI                 1
63                                             ARCA 2001                 1
179                                              CHEREAU                 1
65                                         ARGO TRACTORS                 1
66                                                 ARIIC                 1
71                                               ASTRA V                 1
72                                                  ATOS                 1
74                                          AUDI 80 1.6i                 1
76                                           AUDI A3 1.8                 1
77                                           AUDI A4 1.9                 1
78                                          AUDI A4 1.9/                 1
82                                           AUTOB. Y 10                 1
86                                  AUTOCARRO CONTO PROP                 1
42                                                AIXSAM                 1
39                                                 AIXAN                 1
37                                              AIXAM SV                 1
36                                        AIXAM MEGA VBO                 1
2                                                 3TNV76                 1
3                                                    500                 1
4                                                  667TA                 1
