Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
123                                                  BMW           1552.034113
4                                                  667TA           1550.000000
866                                          SKODA SUPER           1550.000000
417                                               GILERA           1549.718485
242                                       DAIMLERCHRYLER           1547.500000
265                                                   DS           1545.484598
230                                               DAEWOO           1544.323947
382                                   FORD CUSTOM 300 L1           1541.830000
1165                                                opel           1540.942273
1065                                                 bmw           1540.721212
102                                                  Axy           1540.333333
626                                             MERCEDES           1538.902217
672                                            MOTOCICLO           1538.584000
648                                                 MINI           1531.085416
562                                           LAND ROVER           1530.673004
689                                      NACTIONAL MOTOR           1529.540000
380                                                 FORD           1525.614906
1124                                               kymco           1519.887500
712                                                 OPEL           1513.339098
378                                           FITA PUNTO           1512.550000
1208                                                  vw           1512.380000
83                                           AUTOBIANCHI           1512.186410
48                                          ALFA 147 1.9           1507.190000
1117                                               iveco           1505.150333
864                                                SKODA           1504.770398
544                                                Kymco           1501.673186
998                                              VW GOLF           1501.500000
487                                                IVECO           1501.167624
1095                                            ferrante           1500.000000
332                                         FIAT CINQUEC           1500.000000
1209                                           wolswagen           1500.000000
980                                             VOLKSWAG           1497.961579
192                                         CITROEN AX 1           1495.000000
24                                        AGCO GMBH E CO           1493.610000
849                                                  SEA           1493.415000
359                                         FIAT Punto 5           1492.000000
869                                                SMART           1491.723874
978                                           VOLKSVAGEN           1490.876667
1096                                                fiat           1487.601333
1196                                              toyota           1485.970000
852                                                 SEAT           1484.209599
989                                                VOLVO           1482.793225
291                                            EUROCARGO           1481.125000
578                                        LIGIER JS32FD           1480.000000
180                                            CHEVROLET           1475.869722
549                                         LAMBIORGHINI           1475.000000
545                                                 LADA           1474.057778
1210                                                  wv           1473.050000
628                                      MERCEDES - BENZ           1472.250000
1091                                              fantic           1470.000000
835                                         SAME BUFFALO           1466.000000
424                                                 GOLF           1465.820000
737                                              PELLENC           1464.000000
388                                         FORD Foc 1.8           1458.520000
482                                                ISIZU           1455.160000
1163                                              nissan           1454.701875
