Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
280                 FIAT CINQ900                 1
575                          Man                 1
576                         Mash                 1
279                 FIAT BRAVA 1                 1
578              Mercedes - Benz                 1
277                   FIAT 70/90                 1
283                 FIAT Croma 1                 1
581                     Moto spa                 1
582                       Motron                 1
583              NACTIONAL MOTOR                 1
276                   FIAT 70.66                 1
585                   NEW HOLAND                 1
275                     FIAT 680                 1
282                 FIAT Cinquec                 1
284                  FIAT DOBLO'                 1
300                 FIAT PUNTO 6                 1
559                   MITSUBISKI                 1
549                      MINICAR                 1
551                       MIRAGE                 1
553                  MITSUBHISHI                 1
295                 FIAT PANDA 7                 1
294                 FIAT PANDA 4                 1
558                   MITSUBISHY                 1
560                           ML                 1
569                MOTORHISPANIA                 1
561                   MOBILVETTA                 1
563                       MORINI                 1
290                 FIAT MULTIPL                 1
289                 FIAT Idea 1.                 1
287                   FIAT IVACO                 1
286                   FIAT ICEVO                 1
507              MALAGUTI/YAMAHA                 1
504                      MAGIRUS                 1
588                        NIBBI                 1
392                 HYUNDAI ATOS                 1
401                IFOR WILLIAMS                 1
400                      ICOVECO                 1
399                      Hyosung                 1
398                        Hymer                 1
451                   KTM  IS A3                 1
452                      KTM 125                 1
455                        KWANG                 1
445                      KORANDO                 1
456                   KWANG YANG                 1
390                       HYNDAI                 1
388                     HUSABERG                 1
387                    HURLIMANN                 1
386                       HUNDAY                 1
385                       HORWIN                 1
446                       KRAMER                 1
402                       IIVECO                 1
383                    HONDA CBR                 1
414                   IVECO FIAT                 1
420                  J.C.BAMFORD                 1
427                   JHNO DEERE                 1
428                   JHON DEERE                 1
418                      Italjet                 1
417                        Isuzu                 1
416                        IZUZU                 1
433                    JOHNDEERE                 1
441                       KIA UP                 1
434                    JONE DEER                 1
435                   JONH DEERE                 1
413              IVECO EUROCARGO                 1
437                  KAWASAKI KL                 1
412                  IVECO 100 E                 1
409                       ITALIA                 1
384                     HONDA PC                 1
382                    HONDA 250                 1
503          MACCHINA OPERATRICE                 1
343                 Fantic motor                 1
354                       GIOTTI                 1
351                     GASOLONE                 1
349            GARAGE ITALIA SRL                 1
346                   Fiat Punto                 1
344                        Fendt                 1
494                      LINDNER                 1
340                         FUJI                 1
356              GIOTTI VITTORIA                 1
339                     FRANCINI                 1
338                     FORD WAG                 1
336                  FORD RANGER                 1
335           FORD NUOVO TRANSIT                 1
334                  FORD Mondeo                 1
333                      FORD KA                 1
487                     LIEBHERR                 1
485                        LGIER                 1
380                      HOLLAND                 1
473                 LANCIA Y 1.1                 1
466                     LAMBORGH                 1
468                    LAMBRETTA                 1
377                       HELNAG                 1
470                 LANCIA LIBRA                 1
471                 LANCIA THEMA                 1
372                        HAFEI                 1
371                         H.D.                 1
357                       GLOBAL                 1
369                      Generic                 1
360                     GRAZIOLI                 1
480                      LANIDNI                 1
481                      LAVERDA                 1
482                 LAVERDA 3300                 1
483                        LEOMA                 1
587                 NEW HOLLANDE                 1
589                       NINGBO                 1
747                        SUNRA                 1
695                  RVM VEICOLI                 1
689                 ROVER 420 td                 1
690                  ROVER GROUP                 1
691                   ROVER MINI                 1
221                        DOTTO                 1
693                   RSA ITALIA                 1
