Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
340                         FUJI           1600.000000
702                     S.D.F.I.           1598.230000
895                          ape           1592.250000
309                 FIAT Seicent           1592.000000
128                      CARRARO           1583.145556
545                  MICROCAR 51           1580.000000
1001                     renoult           1580.000000
538                 MERCEDES E 2           1580.000000
557              MITSUBISHI FUSO           1576.000000
270                   FIAT 500 F           1575.410000
248                        FACMA           1575.400000
124                     C F MOTO           1575.000000
806                      U T B U           1575.000000
912                 chatenet 505           1568.500000
748                   SUPER SOCO           1565.500000
1010                       simpa           1562.000000
22                     AGCO GMBH           1553.333333
4                          667TA           1550.000000
736                  SKODA SUPER           1550.000000
204               DAIMLERCHRYLER           1547.500000
325           FORD CUSTOM 300 L1           1541.830000
88                           Axy           1540.333333
217                    DISCOVERY           1540.000000
55               ANTONIO CARRARO           1531.406000
583              NACTIONAL MOTOR           1529.540000
970                          man           1510.000000
355              GIOTTI VICTORIA           1508.666667
46                  ALFA 147 1.9           1507.190000
584                          NEW           1503.735000
849                      VW GOLF           1501.500000
930                     ferrante           1500.000000
281                 FIAT CINQUEC           1500.000000
1032                   wolswagen           1500.000000
163                 CITROEN AX 1           1495.000000
23                AGCO GMBH E CO           1493.610000
306                 FIAT Punto 5           1492.000000
840                    VOLSWAGEN           1491.250000
62                        ASKOLL           1487.450000
493                LIGIER JS32FD           1480.000000
767                        TARGA           1477.000000
465                 LAMBIORGHINI           1475.000000
721                         SDFI           1474.000000
926                       fantic           1470.000000
709                 SAME BUFFALO           1466.000000
337                 FORD TRANSIT           1464.686000
501                      LYNK&CO           1464.000000
627                      PELLENC           1464.000000
361                        GREAT           1463.382000
407                        ISIZU           1455.160000
920                        dacia           1455.140000
680                 RENAULT V.I.           1454.000000
232                   Deutz Fahr           1450.000000
820                       VALTRA           1447.848000
158                  CICLOMOTORE           1445.940000
843                    VOLVO F10           1445.000000
